"","metric","AIM","CC-FM","CC-FSPR","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PlanB","Skate"
"23","f_l_n_less_fmsy",-0.740935636188804,1.31073707808035,1.98233529834242,-0.306992901561095,-0.528437448257234,-0.29477424923392,-0.0958687533844131,-0.66748064392248,-1.04091988580824,1.07519568983468,0.492808216894173,-1.18566676479543
"24","f_s_avg_f_fmsy",-1.19477917353489,0.827471112037091,1.14692552400743,0.216754605220495,-0.535305467122835,0.81805359996949,-0.153462077072226,-1.21902958440982,0.398711520291395,0.535857188419783,1.03887148349127,-1.88006873129719
"25","f_s_is_gr_f_dot_1_bmsy",-1.32371381279774,0.822594691003158,1.11958470118789,0.104954679566471,-0.204156910382042,0.721123853539359,0.146263020929699,-1.37838592067064,0.197856641829595,0.565354375597127,1.05773630058328,-1.82921162038616
"26","f_s_is_gr_f_dot_5_bmsy",-1.38770821517892,1.00551023863057,1.39006494240729,-0.315330425830528,0.105502018881973,0.220678979035423,0.570917013281013,-1.36989552990917,-0.0782225822621695,0.937024167128185,0.533891702274345,-1.61243230845801
"27","f_s_is_gr_fmsy",-1.14843250924821,1.21224265546393,1.69538707533709,-0.360645389135919,-0.37980057895957,-0.15529215769093,0.309243292818181,-1.12634790126923,-0.24288498299612,1.35849247070564,0.158931242942934,-1.32089321796778
"28","f_s_is_less_f_dot_1_bmsy",-0.952600879950363,0.511878310382205,0.727262020364923,0.862379545020896,-0.862015230271851,1.0231305737194,-0.506900034101088,-0.943463641196751,0.552158443661289,0.287194021972287,1.22993610717046,-1.9289592367714
"29","f_s_is_less_f_dot_5_bmsy",-1.1644822633555,1.09488512332611,1.43393631059585,-0.182740687199672,-0.409730975839146,0.737738598687043,-0.143116061293294,-1.10398451777379,0.192983625599824,0.511559052062634,0.865125579628254,-1.83217378443831
"30","f_s_is_less_fmsy",-1.11911313137652,1.3079911520678,1.60877266201665,-0.420957300369998,0.138848683063474,0.156851227919042,0.528979781705658,-1.08320046159384,-0.460331459316746,0.826929230698523,0.200052538092097,-1.68482292290614
"31","f_s_n_gr_f_dot_1_bmsy",-1.18282782206553,0.728292611387973,0.998869933520803,0.354702648467243,-0.500832228413616,0.933848625445916,-0.157430388379135,-1.21419529952215,0.339860425872593,0.417859049585357,1.18640561747668,-1.90455317337614
"32","f_s_n_gr_f_dot_5_bmsy",-1.32084821057897,1.04397751703233,1.4085908938236,-0.241584973813015,-0.0364225298938034,0.415262431123087,0.304921426647955,-1.29238903242777,0.0171394220429692,0.765255114509104,0.699736922883729,-1.76363898134921
