IBM,Fhist,time.avg,F_history,Period,F,Catch,SSB,PED,PING,IAV
Islope,1,S,Fmsy,Short-term,0.699539425,1.024399429,1.401320064,0,0,NA
Islope,2,L,2.5xFmsy,Long-term,0.532354761,0.38846888,1.622277723,0,0.1,NA
Islope,2,S,2.5xFmsy,Short-term,1.562158411,0.871193893,0.680302859,0.166666667,1,NA
Itarget,1,L,Fmsy,Long-term,1.637948178,0.939514125,1.076711601,0.3,0.4,NA
Itarget,1,S,Fmsy,Short-term,1.575682946,1.38254144,1.053021518,0,0.833333333,NA
Itarget,2,L,2.5xFmsy,Long-term,1.61396181,0.848043185,0.931336957,0.4,0.4,NA
Itarget,2,S,2.5xFmsy,Short-term,0.602622388,0.487482524,0.842189998,0,0,NA
Ismooth,1,L,Fmsy,Long-term,0.17834544,0.323911532,2.40960331,0,0,NA
Ismooth,1,S,Fmsy,Short-term,0.577134791,0.903116292,1.464519309,0,0,NA
Ismooth,2,L,2.5xFmsy,Long-term,0.194020224,0.282273518,2.274922246,0,0,NA
Ismooth,2,S,2.5xFmsy,Short-term,1.214992398,0.794018707,0.747971504,0,0.666666667,NA
SCAA,1,L,Fmsy,Long-term,0.662231511,0.821004647,1.327196881,0,0.2,NA
SCAA,1,S,Fmsy,Short-term,0.798992138,1.183505896,0.933701842,0,0.333333333,NA
SCAA,2,L,2.5xFmsy,Long-term,0.533801347,0.871208322,1.684478418,0,0.05,NA
SCAA,2,S,2.5xFmsy,Short-term,0.395499383,0.402188383,1.011078405,0,0,NA
Skate,1,L,Fmsy,Long-term,3.380643423,0.611497059,0.411558527,0.7,0.9,NA
Skate,1,S,Fmsy,Short-term,6.460981162,1.750666505,0.701804656,0.5,1,NA
Skate,2,L,2.5xFmsy,Long-term,2.947795257,0.631879542,0.42321645,0.65,0.85,NA
Skate,2,S,2.5xFmsy,Short-term,4.028823243,1.055363166,0.494613763,0.5,1,NA
