"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","SCAA","Skate"
"40","ssb_l_is_less_05_bmsy",-0.827998248248248,-0.45775,-0.2885,-0.488667635218214,-0.743,-0.73475,-0.63975,-0.644,-0.8315,-0.79025,-0.79125,-0.4935,-0.442993486973948,-0.905
"41","ssb_l_n_ge_bmsy",5.44826051051051,13.892,16.137,12.5481116437415,6.9555,6.39375,8.33475,7.4235,5.49256631631632,5.995,8.737,10.6915,11.7417895791583,4.20675
"42","ssb_l_n_less_01_bmsy",-6.32459484484485,-3.17925,-1.79975,-2.94444137175485,-8.6415,-8.7225,-7.182,-7.894,-6.18437387387387,-9.4435,-2.96175,-5.33475,-1.32891633266533,-10.41625
"43","ssb_l_n_less_05_bmsy",-11.2777962962963,-4.87875,-2.89,-5.33093173085985,-10.962,-11.0285,-9.749,-10.1605,-11.213725975976,-12.44325,-7.7775,-7.324,-5.07239028056112,-13.43675
"44","ssb_s_avg_ssb_ssbmsy",0.841008327793917,1.30684776567892,1.36037792996949,1.186103675375,1.04312344875922,0.930691224152695,1.16758371971526,0.992218210242023,0.842388727705408,1.13617156556788,1.14252606347173,1.19527978895028,1.16803104435256,0.775211526298575
"45","ssb_s_is_ge_bmsy",0.575913163163163,0.698,0.72025,0.636878653420768,0.6015,0.59925,0.62325,0.612,0.57751026026026,0.6115,0.663,0.632,0.669044589178357,0.5565
"46","ssb_s_is_less_01_bmsy",-0.321561811811812,-0.0865,-0.069,-0.0596838989488759,-0.1685,-0.3255,-0.083,-0.28575,-0.319907407407407,-0.105,-0.17775,-0.0595,-0.183355711422846,-0.4045
"47","ssb_s_is_less_05_bmsy",-0.616975725725726,-0.35475,-0.32775,-0.351903400025344,-0.4945,-0.549,-0.3545,-0.524,-0.624997247247247,-0.39375,-0.48825,-0.3345,-0.461,-0.68275
"48","ssb_s_n_ge_bmsy",2.04074724724725,3.2015,3.35325,3.02520088890986,2.51725,2.297,2.948,2.453,2.04176626626627,2.822,2.77775,3.0355,2.82855761523046,1.839
"49","ssb_s_n_less_01_bmsy",-0.890621871871872,-0.22875,-0.18225,-0.140171316490434,-0.39875,-0.85725,-0.22075,-0.723,-0.885245245245245,-0.2875,-0.4235,-0.15525,-0.45938627254509,-1.1975
"50","ssb_s_n_less_05_bmsy",-2.77364014014014,-1.39725,-1.2665,-1.4449066089071,-1.9985,-2.62225,-1.49875,-2.47575,-2.77983808808809,-1.6455,-1.994,-1.4075,-2.05090831663327,-3.11375
